pos_x,pos_y,intersection_otherlane,long_accel,intersection_offroad,collision_other,end_point,rep,direction,gametimeStamp,weather,brake,steer,exp_id,throttle,lat_accel,start_point,collision_pedestrians,collision_vehicles,centerDist
71.0400390625,237.42999267578125,0.0,-3.7588712525295494e-12,0.0,0.0,8,0,0,100,8,0.0,0.0,0,0.800000011920929,-3.09398168049529e-25,34,0.0,0.0,0.36738596870321544
71.0400390625,237.42999267578125,0.0,-3.756991679643289e-12,0.0,0.0,8,0,0,150,8,0.0,0.0,0,0.800000011920929,1.9653481189593566e-24,34,0.0,0.0,0.36738596870321544
71.0400390625,237.42999267578125,0.0,-3.755115142523113e-12,0.0,0.0,8,0,0,200,8,0.0,0.0,0,0.800000011920929,3.929901676260857e-24,34,0.0,0.0,0.36738596870321544
71.0400390625,237.42999267578125,0.0,-3.753234268594246e-12,0.0,0.0,8,0,0,250,8,0.0,0.0,0,0.800000011920929,-2.170555735748175e-24,34,0.0,0.0,0.36738596870321544
71.0400390625,237.42999267578125,0.0,-3.751359032516676e-12,0.0,0.0,8,0,0,300,8,0.0,0.0,0,0.800000011920929,-3.411327052089657e-24,34,0.0,0.0,0.36738596870321544
71.0400390625,237.42999267578125,0.0,-3.749488133247796e-12,0.0,0.0,8,0,0,350,8,0.0,0.0,0,0.800000011920929,1.7585513788548255e-24,34,0.0,0.0,0.36738596870321544
71.0400390625,237.42999267578125,0.0,-3.7476133308510955e-12,0.0,0.0,8,0,0,400,8,0.0,0.0,0,0.800000011920929,3.309514629879812e-24,34,0.0,0.0,0.36738596870321544
71.0400390625,237.42999267578125,0.0,-3.745739829497002e-12,0.0,0.0,8,0,0,450,8,0.0,0.0,0,0.800000011920929,-8.271014340293028e-24,34,0.0,0.0,0.36738596870321544
71.0400390625,237.42999267578125,0.0,-3.743868930228122e-12,0.0,0.0,8,0,0,500,8,0.0,0.0,0,0.800000011920929,1.8405560020111662e-23,34,0.0,0.0,0.36738596870321544
71.04003143310547,237.42999267578125,0.0,-0.0016215940704905204,0.0,0.0,8,0,0,550,8,0.0,0.0,0,0.800000011920929,2.501429575690573e-16,34,0.0,0.0,0.36738596870321544
71.04002380371094,237.42999267578125,0.0,-0.1651899814639939,0.0,0.0,8,0,0,600,8,0.0,0.0,0,0.800000011920929,5.687833715878386e-14,34,0.0,0.0,0.36738596870321544
71.039794921875,237.42999267578125,0.0,0.10001949966161063,0.0,0.0,8,0,0,650,8,0.0,0.0,0,0.800000011920929,8.169681427722635e-14,34,0.0,0.0,0.36738596870321544
71.03971099853516,237.42999267578125,0.0,0.05262853577844027,0.0,0.0,8,0,0,700,8,0.0,0.0,0,0.800000011920929,1.5924414244840297e-08,34,0.0,0.0,0.36738596870321544
71.03970336914062,237.42999267578125,0.0,0.023727612570384048,0.0,0.0,8,0,0,750,8,0.0,0.0,0,0.800000011920929,1.5160207363130272e-14,34,0.0,0.0,0.36738596870321544
71.03972625732422,237.42999267578125,0.0,0.0088964253665726,0.0,0.0,8,0,0,800,8,0.0,0.0,0,0.800000011920929,2.021017065198294e-15,34,0.0,0.0,0.36738596870321544
71.03976440429688,237.4300079345703,0.0,0.0017639874714144188,0.0,0.0,8,0,0,850,8,0.0,0.0,0,0.800000011920929,4.40132272785823e-09,34,0.0,0.0,0.36738596870321544
71.03980255126953,237.4300079345703,0.0,-0.001344606280354703,0.0,0.0,8,0,0,900,8,0.0,0.0,0,0.800000011920929,-1.473638440254256e-14,34,0.0,0.0,0.36738596870321544
71.03983306884766,237.43003845214844,0.0,-0.002473165048337561,0.0,0.0,8,0,0,950,8,0.0,0.0,0,0.800000011920929,2.179406547905379e-14,34,0.0,0.0,0.36738596870321544
71.03986358642578,237.4300537109375,0.0,-0.002666367450784258,0.0,0.0,8,0,0,1000,8,0.0,0.0,0,0.800000011920929,-4.328363510068819e-15,34,0.0,0.0,0.36738596870321544
71.0398941040039,237.4300537109375,0.0,-0.002478189067966429,0.0,0.0,8,0,0,1050,8,0.0,0.0,0,0.800000011920929,-4.495879402867399e-15,34,0.0,0.0,0.36738596870321544
71.0399169921875,237.4300537109375,0.0,-0.0021394840442087483,0.0,0.0,8,0,0,1100,8,0.0,0.0,0,0.800000011920929,-2.553060705564114e-15,34,0.0,0.0,0.36738596870321544
71.03993225097656,237.4300537109375,0.0,-0.001785624772347254,0.0,0.0,8,0,0,1150,8,0.0,0.0,0,0.800000011920929,5.253277684171275e-15,34,0.0,0.0,0.36738596870321544
71.03995513916016,237.43003845214844,0.0,-0.0014593320666183404,0.0,0.0,8,0,0,1200,8,0.0,0.0,0,0.800000011920929,-3.857716531760941e-15,34,0.0,0.0,0.36738596870321544
71.03996276855469,237.42999267578125,0.0,-0.0011790811550116459,0.0,0.0,8,0,0,1250,8,0.0,0.0,0,0.800000011920929,9.439388087217514e-16,34,0.0,0.0,0.36738596870321544
71.03996276855469,237.4300079345703,0.0,-0.0009452927625002621,0.0,0.0,8,0,0,1300,8,0.0,0.0,0,0.800000011920929,1.3602230238776687e-15,34,0.0,0.0,0.36738596870321544
71.03997039794922,237.4300537109375,0.0,-0.0007586107822292271,0.0,0.0,8,0,0,1350,8,0.0,0.0,0,0.800000011920929,-1.4708851503947829e-15,34,0.0,0.0,0.36738596870321544
71.03997802734375,237.4300537109375,0.0,-0.0006059901788956314,0.0,0.0,8,0,0,1400,8,0.0,0.0,0,0.800000011920929,-6.660057184126146e-16,34,0.0,0.0,0.36738596870321544
